0	11
1	11
2	9
3	10
4	8
5	12
6	12
7	11
8	6
9	0
10	4
11	3
12	5
13	11
14	0
15	10
16	12
17	14
18	5
19	12
20	9
21	3
22	1
23	5
24	10
25	8
26	13
27	3
28	9
29	9
30	9
31	9
32	9
33	13
34	3
35	13
36	9
37	0
38	6
39	11
40	10
41	7
42	14
43	10
44	13
45	12
46	1
47	6
48	5
49	0
50	6
51	10
52	9
53	6
54	12
55	9
56	0
57	6
58	9
59	13
60	8
61	3
62	8
63	1
64	11
65	1
66	6
67	7
68	10
69	12
70	12
71	13
72	3
73	6
74	4
75	8
76	12
77	12
78	1
79	5
80	9
81	2
82	11
83	0
84	5
85	3
86	10
87	10
88	5
89	14
90	4
91	12
92	10
93	1
94	12
95	13
96	5
97	1
98	7
99	14
100	14
101	13
102	5
103	4
104	8
105	3
106	3
107	10
108	8
109	4
110	11
111	4
112	14
113	1
114	3
115	3
116	14
117	12
118	10
119	10
120	7
121	0
122	1
123	14
124	8
125	5
126	0
127	12
128	6
129	1
130	11
131	12
132	8
133	7
134	6
135	11
136	0
137	5
138	9
139	3
140	9
141	1
142	3
143	14
144	9
145	8
146	2
147	2
148	6
149	2
150	14
151	1
152	6
153	1
154	11
155	13
156	6
157	0
158	5
159	14
160	6
161	5
162	5
163	13
164	8
165	3
166	10
167	10
168	8
169	0
170	12
171	6
172	1
173	10
174	4
175	8
176	5
177	9
178	7
179	10
180	3
181	9
182	1
183	0
184	14
185	8
186	8
187	8
188	3
189	6
190	10
191	10
192	8
193	0
194	0
195	7
196	6
197	14
198	1
199	12
200	10
201	10
202	1
203	11
204	0
205	13
206	7
207	6
208	0
209	11
210	11
211	0
212	6
213	3
214	8
215	14
216	12
217	10
218	12
219	6
220	14
221	11
222	1
223	14
224	7
225	1
226	13
227	2
228	7
229	12
230	5
231	5
232	13
233	10
234	8
235	7
236	3
237	1
238	10
239	8
240	7
241	10
242	14
243	10
244	12
245	6
246	6
247	2
248	6
249	6
250	4
251	6
252	13
253	8
254	3
255	9
256	1
257	3
258	8
259	10
260	13
261	8
262	3
263	4
264	11
265	6
266	5
267	12
268	3
269	14
270	6
271	3
272	4
273	7
274	3
275	7
276	8
277	12
278	8
279	8
280	6
281	8
282	5
283	9
284	12
285	4
286	11
287	12
288	0
289	3
290	8
291	12
292	5
293	1
294	14
295	11
296	3
297	0
298	5
299	14
300	9
301	10
302	3
303	10
304	12
305	9
306	3
307	14
308	11
309	7
310	4
311	4
312	6
313	8
314	8
315	4
316	14
317	5
318	5
319	11
320	8
321	3
322	10
323	5
324	11
325	2
326	2
327	14
328	13
329	8
330	9
331	5
332	1
333	0
334	1
335	5
336	1
337	12
338	5
339	8
340	0
341	12
342	13
343	14
344	5
345	7
346	11
347	12
348	5
349	14
350	9
351	12
352	3
353	10
354	6
355	1
356	4
357	11
358	2
359	7
360	5
361	13
362	1
363	11
364	3
365	5
366	1
367	14
368	9
369	8
370	6
371	14
372	11
373	8
374	5
375	9
376	11
377	14
378	7
379	12
380	4
381	3
382	12
383	3
384	8
385	8
386	12
387	14
388	13
389	8
390	8
391	7
392	8
393	5
394	12
395	8
396	13
397	13
398	12
399	8
400	12
401	3
402	13
403	6
404	8
405	11
406	3
407	14
408	0
409	5
410	10
411	5
412	9
413	9
414	7
415	5
416	13
417	3
418	12
419	11
420	7
421	6
422	11
423	14
424	4
425	12
426	1
427	4
428	11
429	9
430	5
431	11
432	9
433	1
434	1
435	1
436	1
437	1
438	1
439	1
440	1
441	1
442	5
443	7
444	11
445	5
446	5
447	5
448	3
449	4
450	11
451	12
452	13
453	12
454	3
455	13
456	6
457	14
458	4
459	12
460	9
461	14
462	7
463	13
464	6
465	10
466	3
467	2
468	6
469	6
470	5
471	14
472	1
473	13
474	7
475	5
476	11
477	8
478	8
479	11
480	14
481	7
482	6
483	2
484	3
485	10
486	11
487	1
488	14
489	12
490	4
491	7
492	7
493	13
494	3
495	6
496	6
497	12
498	13
499	0
500	6
501	1
502	12
503	13
504	10
505	12
506	11
507	8
508	5
509	1
510	7
511	1
512	1
513	14
514	12
515	14
516	1
517	14
518	5
519	6
520	12
521	13
522	10
523	9
524	8
525	10
526	1
527	10
528	5
529	14
530	5
531	4
532	10
533	3
534	7
535	6
536	13
537	13
538	7
539	6
540	6
541	14
542	13
543	14
544	0
545	1
546	3
547	7
548	8
549	0
550	0
551	7
552	3
553	10
554	12
555	0
556	3
557	10
558	5
559	12
560	8
561	10
562	6
563	1
564	5
565	4
566	6
567	12
568	0
569	13
570	1
571	11
572	0
573	10
574	1
575	1
576	6
577	3
578	5
579	7
580	11
581	11
582	14
583	8
584	12
585	3
586	14
587	10
588	3
589	11
590	8
591	8
592	0
593	12
594	7
595	7
596	0
597	12
598	10
599	8
600	4
601	7
602	6
603	0
604	13
605	7
606	12
607	1
608	3
609	11
610	11
611	12
612	6
613	10
614	4
615	9
616	0
617	4
618	13
619	3
620	4
621	1
622	13
623	11
624	12
625	11
626	7
627	8
628	14
629	8
630	5
631	0
632	12
633	0
634	12
635	12
636	12
637	12
638	10
639	6
640	0
641	0
642	6
643	5
644	6
645	10
646	10
647	13
648	3
649	10
650	6
651	10
652	2
653	5
654	5
655	6
656	1
657	10
658	14
659	4
660	12
661	5
662	11
663	7
664	6
665	0
666	8
667	8
668	9
669	3
670	14
671	8
672	12
673	9
674	11
675	14
676	10
